teamID	n_participants	excluded_participants	func_fwhm	con_fwhm
50GV	108	n/a	5	
9Q6R	104	018, 030, 088, 100	5	
O21U	104	013, 025, 056, 030	5	
U26C	108	n/a	5	
43FJ	103	016, 018, 030, 088, 116	5	
C88N	106	076, 117	8	
4TQ6	108	n/a	6	
T54A	95	004, 005, 013, 016, 018, 030, 031, 068, 073, 088, 099, 100, 116	4	
2T6S	108	n/a	8	
L7J7	108	n/a	6	
0JO0	102	016, 018, 030, 088, 100, 116	5	
X1Y5	102	048	5	4
51PW	108	n/a	5	
6VV2	101	016, 018, 030, 088, 089, 100, 072	4	
O6R6	108	n/a	n/a	
C22U	107	030	5	
3PQ2	101	016, 018, 030, 088, 100, 116	4	
UK24	107	030	4	
4SZ2	108	n/a	5	
9T8E	106	003, 107	8	
94GU	108	n/a	8	
I52Y	106	056	5	
5G9K	88	008, 011, 016, 018, 022, 026, 030,  051, 057, 058,  064,  068, 082,  088, 089, 100, 109, 118, 024	n/a	4
2T7P	105	030, 072, 100	2	
UI76	104	016, 030, 088, 100	4	
B5I6	106	018, 030	5	
V55J	108	n/a	6	
X19V	107	050	5	
0C7Q	101	016, 018, 026, 030, 085, 093, 116	6	
R5K7	108	n/a	8	
0I4U	108	n/a	5	
3C6G	107	030	6	
R9K3	102	016, 030, 085, 088, 100, 116	6	
O03M	107	030	n/a	
08MQ	106	072, 089	6	
80GC	108	n/a	n/a	
J7F9	107	030	8	
R7D1	107	006	5	
Q58J	108	n/a	4	
L3V8	101	016, 018, 026, 030, 032, 116, 120	6	
SM54	108	n/a	5	
1KB2	103	016, 030, 088, 100, 116	7	
0H5E	100	100, 030, 088, 116, 025, 043, 094, 113	9	
P5F3	107	024, 061	4	
Q6O0	107	030	8	
R42Q	108	n/a	6	
L9G5	104	016, 030, 088, 100	5	
DC61	105	018, 030, 116	5	
E3B6	99	016, 030, 088, 100, 018, 022, 110, 116, 56	6	
16IN	108	n/a	4	
46CD	105	030, 109	8	
6FH5	107	100	6	
K9P0	107	030	4	
9U7M	104	030, 035, 116, 119	6	
VG39	108	n/a	5	
1K0E	89	008, 011, 016, 018, 026, 030, 032, 051, 057, 068, 081, 082, 088, 089, 093, 100, 116, 120, 124	4	
X1Z4	108	n/a	2	
I9D6	99	016, 030, 032, 067, 088, 100, 110, 116, 119	n/a	
E6R3	108	n/a	5	
27SS	108	n/a	6	
B23O	108	n/a	n/a	
AO86	108	007, 031	5	
L1A8	108	048, 108	6	
IZ20	108	n/a	6	
3TR7	108	n/a	8	
98BT	100	071, 072, 089, 016, 018, 030, 088, 100	8	
XU70	107	030	5	
0ED6	108	n/a	5	
I07H	108	n/a	4	
1P0Y	104	016, 030, 116, 120	5	
